text;rating;sentiment
Bukan nya mempermudah masyarakat malah nyusahin aja,apk sama org pemerintahan nya sama aja sama sama cacat akal.Data udh lengkap mau validasi malah error sendiri apk cacat;1;Negative
ok;5;Positive
Gak guna,;1;Negative
saya sudah ngisi semua dengan benar kenapa tidak bisa di verification trs kolom ke 3 juga tidak bisa diisi ini gimana to long diperbaiki lagi apk nya;1;Negative
"mau login eror terus, verifikasi kontak ga bisa"", pulsa ada pdhl,";1;Negative
baik;5;Positive
bagaimana cara meleporkan pajak asn;5;Positive
passpharse salah input mulu padahal dah ngikutin sesuai prosedur. servernya juga busuk sering eror;1;Negative
mau daftar aja susah bener et dah. verifikasi no hp kodenya kgk dikirim2;1;Negative
tolol tolol;1;Negative
ntah apa apa, login aja susah minta ampun, pasword salah lah, ID salah lah, ntah apa apa;1;Negative
g bisa di update tolong infonya;2;Negative
Mua aktivasi akun aja susahnya minta ampun padahal email sama nomor telepon sudah benar, tetap aja nomot tidak cocok pas login.. hadehh, sudah hapus aja aplikasinya!;2;Negative
kami setiap thn sllu aktik bayar pajak;3;Neutral
aplikasi gak guna, gak jelas,error muluu..payah;1;Negative
kebiasaan aplikasi lokal kadang ada yg gk bagus;1;Negative
bagaimana mau bayar pajak ini, semua serba sulit, link onlinenya eror, serasa kemampuan th 2010, ini perlu IT yang kemampuan standarlah biar enggak ketinggalan amat, ini kayak orang yang enggak paham di suruh urus beginian ya jelas semuanya pada enggak bisa;1;Negative
Aplikasi Paling Ribet.. Pembaruan Terus tapi Login makin Susah.. Id dan Pasword SDH Benar TPI kesalahan Login Terus... TIM IT nya Payah untuk aplikasi ini;1;Negative
ngak berfungsi dengan baik;1;Negative
daftar tidak bisa by online;1;Negative
Jelek bgt sistem nya;1;Negative
nyusahin mau daftar aja di persulit sinyal stabil verifikasi lama;1;Negative
aplikasi gajelas, udah masukin NIK tulisannya terjadi kesalahan mulu;1;Negative
MAAF BUSUK BANGET PAK APLIKASINYA. TOLONG DIPERBAIKI. TKS;1;Negative
aplikasi kontil;1;Negative
lemot susah login, susah masuk mau di situs ataupun aplikasi;1;Negative
Aplikasi gajelas, mau login malah gabisa mulu. Gimana sih???;1;Negative
kadang msh susah utk buka aplikasinya tp cukup membantu buat lapor pajak tahunan;5;Positive
aplikasi sangat tidak berguna;1;Negative
dulu djp nggak sesulit saat ini ruwet dan susah tolong dong buat aplikasi yg mudah sudah disuruh laporan tapi aplikasi nggak jelas gini. terimakasih sl;1;Negative
mau swabfoto gagal terus sudah 3 hari, gak diperbaiki perbaiki;2;Negative
apk pemerintah the best bintang satu;1;Negative
gak ribet tapi udah berapa kali coba tetep aja gak bisa karena Address detail,padahal udah sesuai sama alamat rumah ,bikin emosi aja ,perbaikin ni 📍;1;Negative
apk eror terus login susah nya setengah mati;1;Negative
apakah ini termasuk anggaran 1,3T itu?;1;Negative
laporan SPT CORETAX SUSAHH PISANN LAHH;1;Negative
masih mending pake aplikasi djp yg dulu, mau login error, aplikasi sampah;1;Negative
aplikasi ampas;1;Negative
Perlu dibenahi •••;2;Negative
aplikasi tolol, 🐶 ribet gedeg bet dah kaga jelas;1;Negative
susah login padahal sepet terdaftar npwp cuma lupa sandi tetap aja gak membantu lupa sandinya mohon tuk di perbaiki lagi apknya min;1;Negative
buruk lemot. bgus app yg dlu.;1;Negative
verifikasi kode nomer susah banget gak masuk masuk tolong dong di perbaiki biar gak nyusahin hadeh.;2;Negative
niat ngurus pajak dipersulit.;1;Negative
pengisian pendaftarannya dipersulit,susah,padahal sudh benar data yang dimasukan tapi malah ga valid katanyaa,,bikin pusing;1;Negative
Sudah membuat berkali kali gagal. Bayangkan, tadi ke kantor pajak nya aja ga tau. Tolong lah kasih pemahaman pada masyarakat. Padahal td sudah menyerahkan ke kantor pajak tetap tidak bisa membuat NPWP;1;Negative
aplikasi masih banyak bug, terutama untuk otp no telpon tidak muncul muncul;1;Negative
tidak dapat verif lgsg force close;1;Negative
tidak bisa masuk pada aplikasi padahal sudah verifikasi wajah dan data email serta telepon sudah di konfirmasi benar oleh aplikasi. saya jadi kuatir jangan sampai ini aplikasi spam pengambil data wajib pajak;1;Negative
mau masuk error trooosss;1;Negative
aplikasi sampah, verifikasi image berulang-ulang gagal terus, buang2 anggaran aja,;1;Negative
sangat membatu para karyawan untuk simpanan di masa pra kerja;5;Positive
aplikasi aneh sering eror;1;Negative
banyakan di tilep biaya r&d nya ini aplikasi 🤣 gak usah saya jelasin dah ya kenapa saya tulis begini yang lain udah banyak jelasin di bawah;1;Negative
aplikasi pemerintah ngga ada yang beres;1;Negative
fitur-fitur ga guna, nyusahin aja;1;Negative
MAU LAPOR PAJAK AJA SUSAH BENER JELEK PELAYANAN NYA;1;Negative
apk gk jelas bikin ribet;1;Negative
banyak bug nya;1;Negative
aplikasinya sampah gak bisa buat login padahal sudh di verifikasi, sering ulang kata sandi via email yg terdaftar malah keterangan emailnya tidak valid, di ubah ke nomer, malah gak dpt notifikasi nya..;1;Negative
Nyieun npwp ge rudet anyingg;1;Negative
susah banget masuknya, sudah masuk sudah di isi bingung mau di klik di selesaikannya, malah muter2. gampang pakai e-Filling dari pada coretak;2;Negative
kembang terus sistem ya agar lebih lancar dan baik terima kasih atas kemudahan ya;5;Positive
saya udah dipandu terimakasih;5;Positive
buruk di persulit gak mempermudah banget;1;Negative
Hadeuh..... Tolong Aplikasinya bikin yang bener lah biar bisa digunakan;1;Negative
Sampah !;1;Negative
aplikasi tidak sangat membingungkan,;1;Negative
sekelas aplikasi negara seperti ini?? verifikasi email dan no hp tidak ada dikirim , katanya mempermudah tapi kok mempersulit?;1;Negative
mantap;5;Positive
apk setengah mateng;1;Negative
mantap;5;Positive
Mau aktivasi akun, disuruh ambil foto, udah beres katanya foto tidak sesuai dengan data base, padahal gak pernah oplas, gak pake kacamata atau aksesoris apapun juga, ini gimana sih?;1;Negative
tidak bisa merubah data no telpon dll di aflikasi ini, mau download kartu electronic jg tdk ada, masih bagusan aplikasi lama;1;Negative
tidak bisa login, mau ganti kata sandi tidak bisa. makin parah aplikasi pemerintah;1;Negative
pengen login susah banget? gak bisa terus di web gak bisa di aplikasi gak bisa apa tujuannya dong ini aplikasi dibuat?;2;Negative
mantap;5;Positive
apk tai;1;Negative
lebih mudah;5;Positive
permintaan login selalu gagal tidak tau masalahnya apa;1;Negative
lumayan bagus dan mudah;5;Positive
ribet bangetttt , saya yg anak muda aja kesusahan banget buat buka dan pengen tahu nomer NPWP nya aja ,udah bolak balik aktivasi masih susah login. apalagi yg ga melek gadget. ya ampun bikin emosi ajaaa;1;Negative
aplikasi bagussss bangeytt woooiiii bikin aplikasi yang benerrrrr, pajak kan duitnye banyakkk !! apaansi ngirim kode OTP aje ga kekirim kirim kocakkkk malu sekelas punya negara begini, kerja lu pada ngapain sii;1;Negative
muter² suweee, Jane ISO PO Ra gae aplikasi;3;Neutral
baik sekali terimakasih;5;Positive
Jelek banget sampe gak lapor spt. bomat deh. login aja gak bisa;1;Negative
Aplikasi apaan ini, banyak bug bjir, udah ngisi form berkali kali masih gagal terus, terus minta bantuan di telpon malah di tutup;1;Negative
apk eror terus gk bisa login;1;Negative
waw mantap;5;Positive
padahal sudah benar detail alamatnya, tapi kok error terus tolong diperbaiki biar bisa registrasi 👎;1;Negative
cepat dan lengkap;5;Positive
it's the best;5;Positive
parah, eror terus. mau log in aja susah. ini niat gasih buat apk;1;Negative
aplikasi membingungkan dan bikin pusing orang. sudah berjam2 tidak bisa dipakai.. padahal sudah masukin data, sandi, dengan benar tapi selalu di ulang2 terus. udah verikasi swafoto trs suruh ganti sandi tapi selalu stuck disitu trs.. ini mah bukan mempermudah tp bikin mumet. lapor pajak aja sampe repot begini.;1;Negative
sangat mendukung;5;Positive
kenapa nomor NPWP gak bisa masuk, padahal baru kemarin ke kantor pajak reset password dan email.. udah bener.. eh malah tidak terdaftar katanya.. hahhh kok bisa, sandinya dan email udh bener, difoto malah;1;Negative
masuk aplikasi bolak balik verifikasi tapi ga puas2 kalian gimna mau bayar pajak login apk ribet x;1;Negative
Siipp sudah lapor;5;Positive
apk nya terlalu rumit sih untuk daptar nya susah amat apk nya terlalu nyedot pulsa emg bener2;1;Negative
ok;4;Positive
bagus;5;Positive
pulsa habis otp ga nyampe hadeuh;1;Negative
update mulu;1;Negative
susah masuk tinggal verifikasi jadi ribet amat pake koretak padahal email no hp sama,, gimanamau laporan;1;Negative
suuulit;5;Positive
pajak ketinggian;1;Negative
RIBET;1;Negative
habis pembaruan kok Sekarang sulit sekali ya login di djp....bad aplikasinya;1;Negative
bagus;5;Positive
ga fungsi;1;Negative
aplikasi paling buruk;1;Negative
mantap;5;Positive
good;5;Positive
saya kasi tiga dulu karena blom tau aplikaainya ini mempermudah atau mempersulit;3;Neutral
aktivis akun aja susahnya minta ampuuuuuuuunnnnnn;1;Negative
ok;5;Positive
aplikasi buruk banget, gagal terus input data;1;Negative
sungguh sangat buruk ini aplikasi. mau daftar juga susah banget.. padahal mau baik mau laporan pendapat.;1;Negative
mau daftar aja di persulit banget, dateng ke kantor pajak disuruh pulang buat dulu di online giliran buat online malah di persulit padahal mau bayar ke negara susah amat dah aneh;1;Negative
aplikasi boomers sistem aneh, mau verif akun aja lama upgrade noh apk lu kocak;1;Negative
mau lapor spt malah ribet .... ga guna;1;Negative
aplikasi & web nya sama aja ga jelas, mau ganti sandi ngga bisa, ngasih link ga jelas link nya apa.;1;Negative
sangat membantu aplikasi ini;5;Positive
Sy sudah berusaha jadi WP terbaik..namun aplikasi yg baru ini begitu ribet sekali...susah login...tdk bisa masuk ...bahkan website cortex Pajak SPT tahunan PPh tdk bisa masuk... setelah lakukan perubahan data kemarin..malah di April sama sekali susah sinkronisasi mana lagi karena WP harus lapor lagi padahal sudah terbayar dan terpotong...kita rakyat dipersulit...para pegawai santai terima tunjangan dan gaji...waktu kami terpakai terus urusan ini...data internet dan wifi tdk gratisan;3;Neutral
aplikasi bikin pusing, data sudah dimasukkan dengan benar, verifikasi muka, email masih saja kesalahan. membagongkan;1;Negative
aplikasi macam apa ini cooegg gajelas banget mau login aja susah mana makan pulsa pula NYESEL JADI WNI;1;Negative
ga paham;2;Negative
aplikasi jelek;1;Negative
Aplikasinya masih banyak bug. Tidak bisa mengubah informasi akun seperti nomor telepon. Setelah berhasil login sekali di Coretax, saat logout dan coba login lagi malah tidak bisa masuk. Mohon diperbaiki, karena sangat mengganggu. Selain itu, tidak ada notifikasi error yang jelas, jadi pengguna bingung harus melakukan apa. Untuk aplikasi yang berkaitan dengan pajak, seharusnya sistem lebih stabil dan dapat diandalkan.;1;Negative
gak guna;1;Negative
ga modal, apk pajak masak mau verif otp tlpn aja kita yg bayar pulsa nya. ini apk pemetintah loh, kita mau bayar pajak aja masih kena palakin;1;Negative
duuh susah amat login, udah bener semua, error melulu, udah fiturnya tidak lengkap, untuk login oun susah. tidak berfaedah dan tidak membantu sama sekali.;1;Negative
tidak bisa di buka;1;Negative
Kacauuu... kode Verifikasi dari SMS gak masuk masuk;1;Negative
aplikasi sampahhh;1;Negative
aplikasi gak jelas, mau daftar akun gagal terus;1;Negative
