ï»¿text,rating,sentiment,clean_text
"Bukan nya mempermudah masyarakat malah nyusahin aja,apk sama org pemerintahan nya sama aja sama sama cacat akal.Data udh lengkap mau validasi malah error sendiri apk cacat",1,Negative,nya mudah masyarakat nyusahin ajaapk org perintah nya cacat akaldata udh lengkap validasi error apk cacat
ok,5,Positive,ok
"Gak guna,",1,Negative,gak
saya sudah ngisi semua dengan benar kenapa tidak bisa di verification trs kolom ke 3 juga tidak bisa diisi ini gimana to long diperbaiki lagi apk nya,1,Negative,ngisi verification trs kolom isi gimana to long baik apk nya
"mau login eror terus, verifikasi kontak ga bisa"", pulsa ada pdhl,",1,Negative,login eror verifikasi kontak pulsa pdhl
baik,5,Positive,
bagaimana cara meleporkan pajak asn,5,Positive,meleporkan pajak asn
passpharse salah input mulu padahal dah ngikutin sesuai prosedur. servernya juga busuk sering eror,1,Negative,passpharse salah input mulu dah ngikutin sesuai prosedur servernya busuk eror
mau daftar aja susah bener et dah. verifikasi no hp kodenya kgk dikirim2,1,Negative,daftar susah bener et dah verifikasi no hp kode kgk kirim
tolol tolol,1,Negative,tolol tolol
"ntah apa apa, login aja susah minta ampun, pasword salah lah, ID salah lah, ntah apa apa",1,Negative,ntah login susah ampun pasword salah id salah ntah
g bisa di update tolong infonya,2,Negative,g update tolong info
"Mua aktivasi akun aja susahnya minta ampun padahal email sama nomor telepon sudah benar, tetap aja nomot tidak cocok pas login.. hadehh, sudah hapus aja aplikasinya!",2,Negative,mua aktivasi akun susah ampun email nomor telepon nomot cocok pas login hadehh hapus aplikasi
kami setiap thn sllu aktik bayar pajak,3,Neutral,thn sllu aktik bayar pajak
"aplikasi gak guna, gak jelas,error muluu..payah",1,Negative,aplikasi gak gak jelaserror muluupayah
kebiasaan aplikasi lokal kadang ada yg gk bagus,1,Negative,biasa aplikasi lokal kadang bagus
"bagaimana mau bayar pajak ini, semua serba sulit, link onlinenya eror, serasa kemampuan th 2010, ini perlu IT yang kemampuan standarlah biar enggak ketinggalan amat, ini kayak orang yang enggak paham di suruh urus beginian ya jelas semuanya pada enggak bisa",1,Negative,bayar pajak serba sulit link onlinenya eror serasa mampu th it mampu standar biar tinggal kayak orang paham suruh urus ya
Aplikasi Paling Ribet.. Pembaruan Terus tapi Login makin Susah.. Id dan Pasword SDH Benar TPI kesalahan Login Terus... TIM IT nya Payah untuk aplikasi ini,1,Negative,aplikasi ribet baru login susah id pasword sdh tpi salah login tim it nya payah aplikasi
ngak berfungsi dengan baik,1,Negative,ngak fungsi
daftar tidak bisa by online,1,Negative,daftar by online
Jelek bgt sistem nya,1,Negative,jelek banget sistem nya
nyusahin mau daftar aja di persulit sinyal stabil verifikasi lama,1,Negative,nyusahin daftar sulit sinyal stabil verifikasi
"aplikasi gajelas, udah masukin NIK tulisannya terjadi kesalahan mulu",1,Negative,aplikasi gajelas udah masukin nik tulis salah mulu
MAAF BUSUK BANGET PAK APLIKASINYA. TOLONG DIPERBAIKI. TKS,1,Negative,maaf busuk banget aplikasi tolong baik tks
aplikasi kontil,1,Negative,aplikasi kontil
"lemot susah login, susah masuk mau di situs ataupun aplikasi",1,Negative,lot susah login susah masuk situs aplikasi
"Aplikasi gajelas, mau login malah gabisa mulu. Gimana sih???",1,Negative,aplikasi gajelas login gabisa mulu gimana sih
kadang msh susah utk buka aplikasinya tp cukup membantu buat lapor pajak tahunan,5,Positive,kadang msh susah utk buka aplikasi tp bantu lapor pajak tahun
aplikasi sangat tidak berguna,1,Negative,aplikasi guna
