text,rating,sentiment,text_clean,label_indobert,label_mbert
tidak bisa masuk pada aplikasi padahal sudah verifikasi wajah dan data email serta telepon sudah di konfirmasi benar oleh aplikasi. saya jadi kuatir jangan sampai ini aplikasi spam pengambil data wajib pajak,1,Negative,tidak bisa masuk pada aplikasi padahal sudah verifikasi wajah dan data email serta telepon sudah di konfirmasi benar oleh aplikasi saya jadi kuatir jangan sampai ini aplikasi spam pengambil data wajib pajak,Negative,Negative
mau masuk error trooosss,1,Negative,mau masuk error trooosss,Negative,Negative
"aplikasi sampah, verifikasi image berulang-ulang gagal terus, buang2 anggaran aja,",1,Negative,aplikasi sampah verifikasi image berulang ulang gagal terus buang2 anggaran aja,Negative,Negative
sangat membatu para karyawan untuk simpanan di masa pra kerja,5,Positive,sangat membatu para karyawan untuk simpanan di masa pra kerja,Positive,Positive
aplikasi aneh sering eror,1,Negative,aplikasi aneh sering eror,Negative,Negative
banyakan di tilep biaya r&d nya ini aplikasi 🤣 gak usah saya jelasin dah ya kenapa saya tulis begini yang lain udah banyak jelasin di bawah,1,Negative,banyakan di tilep biaya r d nya ini aplikasi gak usah saya jelasin dah ya kenapa saya tulis begini yang lain udah banyak jelasin di bawah,Negative,Negative
aplikasi pemerintah ngga ada yang beres,1,Negative,aplikasi pemerintah ngga ada yang beres,Negative,Negative
"fitur-fitur ga guna, nyusahin aja",1,Negative,fitur fitur ga guna nyusahin aja,Negative,Negative
MAU LAPOR PAJAK AJA SUSAH BENER JELEK PELAYANAN NYA,1,Negative,mau lapor pajak aja susah bener jelek pelayanan nya,Negative,Negative
apk gk jelas bikin ribet,1,Negative,apk gk jelas bikin ribet,Negative,Negative
banyak bug nya,1,Negative,banyak bug nya,Negative,Negative
"aplikasinya sampah gak bisa buat login padahal sudh di verifikasi, sering ulang kata sandi via email yg terdaftar malah keterangan emailnya tidak valid, di ubah ke nomer, malah gak dpt notifikasi nya..",1,Negative,aplikasinya sampah gak bisa buat login padahal sudh di verifikasi sering ulang kata sandi via email yg terdaftar malah keterangan emailnya tidak valid di ubah ke nomer malah gak dpt notifikasi nya,Negative,Negative
Nyieun npwp ge rudet anyingg,1,Negative,nyieun npwp ge rudet anyingg,Negative,Negative
"susah banget masuknya, sudah masuk sudah di isi bingung mau di klik di selesaikannya, malah muter2. gampang pakai e-Filling dari pada coretak",2,Negative,susah banget masuknya sudah masuk sudah di isi bingung mau di klik di selesaikannya malah muter2 gampang pakai e filling dari pada coretak,Negative,Negative
kembang terus sistem ya agar lebih lancar dan baik terima kasih atas kemudahan ya,5,Positive,kembang terus sistem ya agar lebih lancar dan baik terima kasih atas kemudahan ya,Positive,Positive
saya udah dipandu terimakasih,5,Positive,saya udah dipandu terimakasih,Positive,Positive
buruk di persulit gak mempermudah banget,1,Negative,buruk di persulit gak mempermudah banget,Negative,Negative
Hadeuh..... Tolong Aplikasinya bikin yang bener lah biar bisa digunakan,1,Negative,hadeuh tolong aplikasinya bikin yang bener lah biar bisa digunakan,Negative,Negative
Sampah !,1,Negative,sampah,Negative,Negative
"aplikasi tidak sangat membingungkan,",1,Negative,aplikasi tidak sangat membingungkan,Negative,Negative
"sekelas aplikasi negara seperti ini?? verifikasi email dan no hp tidak ada dikirim , katanya mempermudah tapi kok mempersulit?",1,Negative,sekelas aplikasi negara seperti ini verifikasi email dan no hp tidak ada dikirim katanya mempermudah tapi kok mempersulit,Negative,Negative
mantap,5,Positive,mantap,Positive,Positive
apk setengah mateng,1,Negative,apk setengah mateng,Negative,Negative
mantap,5,Positive,mantap,Positive,Positive
"Mau aktivasi akun, disuruh ambil foto, udah beres katanya foto tidak sesuai dengan data base, padahal gak pernah oplas, gak pake kacamata atau aksesoris apapun juga, ini gimana sih?",1,Negative,mau aktivasi akun disuruh ambil foto udah beres katanya foto tidak sesuai dengan data base padahal gak pernah oplas gak pake kacamata atau aksesoris apapun juga ini gimana sih,Negative,Negative
"tidak bisa merubah data no telpon dll di aflikasi ini, mau download kartu electronic jg tdk ada, masih bagusan aplikasi lama",1,Negative,tidak bisa merubah data no telpon dll di aflikasi ini mau download kartu electronic jg tdk ada masih bagusan aplikasi lama,Negative,Negative
"tidak bisa login, mau ganti kata sandi tidak bisa. makin parah aplikasi pemerintah",1,Negative,tidak bisa login mau ganti kata sandi tidak bisa makin parah aplikasi pemerintah,Negative,Negative
pengen login susah banget? gak bisa terus di web gak bisa di aplikasi gak bisa apa tujuannya dong ini aplikasi dibuat?,2,Negative,pengen login susah banget gak bisa terus di web gak bisa di aplikasi gak bisa apa tujuannya dong ini aplikasi dibuat,Negative,Negative
mantap,5,Positive,mantap,Positive,Positive
apk tai,1,Negative,apk tai,Negative,Negative
lebih mudah,5,Positive,lebih mudah,Positive,Positive
permintaan login selalu gagal tidak tau masalahnya apa,1,Negative,permintaan login selalu gagal tidak tau masalahnya apa,Negative,Negative
lumayan bagus dan mudah,5,Positive,lumayan bagus dan mudah,Positive,Positive
"ribet bangetttt , saya yg anak muda aja kesusahan banget buat buka dan pengen tahu nomer NPWP nya aja ,udah bolak balik aktivasi masih susah login. apalagi yg ga melek gadget. ya ampun bikin emosi ajaaa",1,Negative,ribet bangetttt saya yg anak muda aja kesusahan banget buat buka dan pengen tahu nomer npwp nya aja udah bolak balik aktivasi masih susah login apalagi yg ga melek gadget ya ampun bikin emosi ajaaa,Negative,Negative
